task_id,department,task_category,section_id,track_line,station_code,start_km,end_km,work_length_km,horizon,status,safety_criticality,asset_degradation_score,urgency_days_overdue,gmt_accumulated,speed_restriction_if_deferred_kmh,has_speed_restriction,required_duration_mins,requires_traffic_block,requires_power_block,requires_st_disconnection,km_from_origin,has_yard,platforms
TMS_KAG_001,TMS,USFD_IMR_RAIL_FLAW,SEC_GZB_MIU_UP,UP,GZB,26.0,26.5,0.5,DAILY,PENDING,9.9,9.5,4,62.4,20.0,True,120,True,False,,25.4,True,6
TMS_KAG_002,TMS,TRACK_TAMPING_CSM,SEC_GZB_MIU_UP,UP,GZB,26.0,32.0,6.0,DAILY,PENDING,8.2,8.4,12,62.4,50.0,True,210,True,False,,25.4,True,6
TMS_KAG_003,TMS,POINTS_CROSSING_TAMPING,SEC_DER_AJR_UP,UP,DER,42.0,43.2,1.2,WEEKLY,PENDING,8.6,8.1,9,55.0,30.0,True,180,True,False,,42.1,True,4
TMS_KAG_004,TMS,BALLAST_CLEANING_BCM,SEC_DKDE_WAIR_DN,DN,DKDE,60.0,64.0,4.0,MONTHLY,PENDING,7.8,8.8,18,74.2,30.0,True,300,True,True,,58.7,False,3
TMS_KAG_005,TMS,CWR_DESTRESSING,SEC_KRJ_SOM_DN,DN,KRJ,94.0,98.0,4.0,WEEKLY,PENDING,8.4,7.8,7,78.1,45.0,True,180,True,False,,89.4,True,5
TMS_KAG_006,TMS,USFD_IMR_RAIL_FLAW,SEC_SOM_ALJN_UP,UP,SOM,118.5,119.0,0.5,DAILY,PENDING,9.7,9.2,2,82.0,30.0,True,90,True,False,,110.1,False,3
TMS_KAG_007,TMS,RAIL_GRINDING_RGM,SEC_ALJN_HRS_DN,DN,ALJN,135.0,142.0,7.0,WEEKLY,PENDING,7.1,7.5,15,68.0,,False,240,True,False,,131.2,True,7
SMMS_KAG_001,SMMS,POINT_MACHINE_OVERHAUL,SEC_GZB_MIU_UP,UP,GZB,25.8,26.4,0.6,DAILY,PENDING,8.9,8.2,8,62.4,,False,150,True,,True,25.4,True,6
SMMS_KAG_002,SMMS,TRACK_CIRCUIT_CALIBRATION,SEC_DER_AJR_UP,UP,DER,42.2,43.0,0.8,DAILY,PENDING,7.8,7.3,11,55.0,,False,90,True,,True,42.1,True,4
SMMS_KAG_003,SMMS,AXLE_COUNTER_MSDAC_TEST,SEC_DKDE_WAIR_DN,DN,DKDE,61.0,62.0,1.0,WEEKLY,PENDING,8.5,8.0,6,74.2,,False,120,True,,True,58.7,False,3
SMMS_KAG_004,SMMS,TRACK_CIRCUIT_CALIBRATION,SEC_KRJ_SOM_DN,DN,KRJ,94.0,94.8,0.8,DAILY,PENDING,8.1,7.9,5,78.1,,False,90,True,,True,89.4,True,5
SMMS_KAG_005,SMMS,ELECTRONIC_INTERLOCKING_POH,SEC_ALJN_HRS_DN,DN,ALJN,131.2,132.0,0.8,MONTHLY,PENDING,9.2,7.6,14,68.0,,False,180,True,,True,131.2,True,7
