task_id,department,task_name,task_category,section_id,track_line,start_km,end_km,station_code,required_duration_mins,safety_criticality,asset_degradation_score,urgency_days_overdue,gmt_accumulated,speed_restriction_if_deferred_kmh,requires_traffic_block,requires_power_block,requires_st_disconnection,required_machines,required_gangs,required_power_cut_substation,horizon,status
TMS_KAG_001,TMS,Emergency IMR Rail Flaw Renewal KM 26.2,USFD_IMR_RAIL_FLAW,SEC_GZB_MIU_UP,UP,26.0,26.5,GZB,120,9.9,9.5,4,62.4,20.0,True,False,,WELD_GENSET_01,PWAY_GANG_01,,DAILY,PENDING
TMS_KAG_002,TMS,CSM Track Tamping & Alignment KM 26.0-32.0,TRACK_TAMPING_CSM,SEC_GZB_MIU_UP,UP,26.0,32.0,GZB,210,8.2,8.4,12,62.4,50.0,True,False,,CSM_TAMPING_01,MACHINE_CREW_01,,DAILY,PENDING
TMS_KAG_003,TMS,Turnout 102 Diamond Crossing Overhaul,POINTS_CROSSING_TAMPING,SEC_DER_AJR_UP,UP,42.0,43.2,DER,180,8.6,8.1,9,55.0,30.0,True,False,,UNIMAT_TURNOUT_02,PWAY_GANG_02,,WEEKLY,PENDING
TMS_KAG_004,TMS,BCM Deep Screening of Track Bed,BALLAST_CLEANING_BCM,SEC_DKDE_WAIR_DN,DN,60.0,64.0,DKDE,300,7.8,8.8,18,74.2,30.0,True,True,,BCM_MACHINE_03,BCM_HEAVY_CREW,,MONTHLY,PENDING
TMS_KAG_005,TMS,CWR Destressing & Rail Tensor Clamping,CWR_DESTRESSING,SEC_KRJ_SOM_DN,DN,94.0,98.0,KRJ,180,8.4,7.8,7,78.1,45.0,True,False,,RAIL_TENSOR_01,PWAY_GANG_03,,WEEKLY,PENDING
TMS_KAG_006,TMS,Emergency Weld Defect OBS Clamp Removal,USFD_IMR_RAIL_FLAW,SEC_SOM_ALJN_UP,UP,118.5,119.0,SOM,90,9.7,9.2,2,82.0,30.0,True,False,,WELD_GENSET_01,PWAY_GANG_01,,DAILY,PENDING
TMS_KAG_007,TMS,Rail Grinding RGM Profile Restoration,RAIL_GRINDING_RGM,SEC_ALJN_HRS_DN,DN,135.0,142.0,ALJN,240,7.1,7.5,15,68.0,,True,False,,RGM_GRINDER_01,RGM_CREW,,WEEKLY,PENDING
SMMS_KAG_001,SMMS,Point Machine 104A/B POH & Disconnection,POINT_MACHINE_OVERHAUL,SEC_GZB_MIU_UP,UP,25.8,26.4,GZB,150,8.9,8.2,8,62.4,,True,,True,,SNT_MAINT_GANG_01,,DAILY,PENDING
SMMS_KAG_002,SMMS,DC Track Circuit Relay Overhaul & Tuning,TRACK_CIRCUIT_CALIBRATION,SEC_DER_AJR_UP,UP,42.2,43.0,DER,90,7.8,7.3,11,55.0,,True,,True,,SNT_MAINT_GANG_02,,DAILY,PENDING
SMMS_KAG_003,SMMS,MSDAC Digital Axle Counter Calibration,AXLE_COUNTER_MSDAC_TEST,SEC_DKDE_WAIR_DN,DN,61.0,62.0,DKDE,120,8.5,8.0,6,74.2,,True,,True,,SNT_TECH_GANG_01,,WEEKLY,PENDING
SMMS_KAG_004,SMMS,AFTC Glued Insulated Joint Maintenance,TRACK_CIRCUIT_CALIBRATION,SEC_KRJ_SOM_DN,DN,94.0,94.8,KRJ,90,8.1,7.9,5,78.1,,True,,True,,SNT_MAINT_GANG_02,,DAILY,PENDING
SMMS_KAG_005,SMMS,Electronic Interlocking Executive Diagnostic,ELECTRONIC_INTERLOCKING_POH,SEC_ALJN_HRS_DN,DN,131.2,132.0,ALJN,180,9.2,7.6,14,68.0,,True,,True,,EI_SPECIALIST_TEAM,,MONTHLY,PENDING
TDMS_KAG_001,TDMS,OHE Cantilever Tuning & AOH by Tower Wagon,OHE_AOH_TOWER_WAGON,SEC_GZB_MIU_UP,UP,26.0,30.0,GZB,180,8.5,8.4,11,62.4,,True,True,,TOWER_WAGON_TRD_01,TRD_OHE_CREW_01,TSS_GZB_25KV,DAILY,PENDING
TDMS_KAG_002,TDMS,Burnt OHE Jumper & Contact Wire Splicing,CONTACT_WIRE_RENEWAL,SEC_KRJ_SOM_DN,DN,93.5,95.0,KRJ,150,9.4,9.1,5,78.1,,True,True,,TOWER_WAGON_TRD_02,TRD_HEAVY_CREW,TSS_KRJ_25KV,DAILY,PENDING
TDMS_KAG_003,TDMS,PTFE Neutral Section Arc Horn Gap Tuning,NEUTRAL_SECTION_MAINT,SEC_DER_AJR_UP,UP,42.5,43.5,DER,120,8.9,8.6,4,55.0,,True,True,,TOWER_WAGON_TRD_01,TRD_OHE_CREW_02,TSS_DER_25KV,DAILY,PENDING
TDMS_KAG_004,TDMS,Hazardous Tree Branch Trimming (25kV Feeder),TREE_TRIMMING_HIGH_VOLTAGE,SEC_DKDE_WAIR_DN,DN,61.0,63.0,DKDE,120,7.5,6.9,8,74.2,,True,True,,,TRD_TREE_GANG,TSS_DER_25KV,DAILY,PENDING
TDMS_KAG_005,TDMS,25kV Vacuum Circuit Breaker Substation POH,SUBSTATION_CB_OVERHAUL,SEC_ALJN_HRS_DN,DN,131.0,131.5,ALJN,180,8.7,8.0,19,68.0,,True,True,,,PSI_SPECIALIST_TEAM,TSS_ALJN_25KV,MONTHLY,PENDING
