train_no,station_code,arrival_time,departure_time,arrival_minutes,departure_minutes,halt_mins,distance_km,day_count
22436,NDLS,Source,06:00,,360,0,0.0,1
22436,CNB,10:08,10:10,608,610,2,436.0,1
22436,PRYJ,12:08,12:10,728,730,2,630.0,1
22436,BSB,14:00,Destination,840,,0,755.0,1
22435,BSB,Source,15:00,,900,0,0.0,1
22435,PRYJ,16:30,16:32,990,992,2,125.0,1
22435,CNB,18:30,18:32,1110,1112,2,319.0,1
22435,NDLS,23:00,Destination,1380,,0,755.0,1
12302,NDLS,Source,16:50,,1010,0,0.0,1
12302,CNB,21:32,21:37,1292,1297,5,436.0,1
12302,PRYJ,23:43,23:45,1423,1425,2,630.0,1
12302,DDU,01:42,01:52,102,112,10,783.0,2
12302,HWH,10:05,Destination,605,,0,1445.0,2
12002,NDLS,Source,06:15,,375,0,0.0,1
12002,ALJN,07:33,07:35,453,455,2,131.2,1
12002,TDL,08:35,08:37,515,517,2,204.0,1
12418,NDLS,Source,22:10,,1330,0,0.0,1
12418,GZB,22:45,22:47,1365,1367,2,25.4,1
12418,ALJN,00:03,00:05,3,5,2,131.2,2
12418,CNB,03:50,03:55,230,235,5,436.0,2
12418,FTP,04:50,04:52,290,292,2,514.0,2
12418,PRYJ,07:00,Destination,420,,0,630.0,2
64101,GZB,Source,07:30,,450,0,25.4,1
64101,MIU,07:44,07:45,464,465,1,35.8,1
64101,DER,07:54,07:55,474,475,1,42.1,1
64101,AJR,08:04,08:05,484,485,1,50.3,1
64101,DKDE,08:14,08:15,494,495,1,58.7,1
64101,WAIR,08:30,08:31,510,511,1,70.2,1
64101,CHL,08:41,08:42,521,522,1,77.6,1
64101,KRJ,08:58,09:00,538,540,2,89.4,1
64101,SOM,09:22,09:23,562,563,1,110.1,1
64101,ALJN,10:00,Destination,600,,0,131.2,1
20901,VAPI,Source,06:00,,360,0,850.0,1
20901,ST,07:00,07:05,420,425,5,945.0,1
20901,BRC,08:15,08:20,495,500,5,1075.0,1
20901,ANND,08:48,08:50,528,530,2,1110.0,1
20901,ADI,09:45,09:50,585,590,5,1172.0,1
20901,GNC,12:25,Destination,745,,0,1202.0,1
20902,GNC,Source,14:05,,845,0,1202.0,1
20902,ADI,14:45,14:50,885,890,5,1172.0,1
20902,ANND,15:40,15:42,940,942,2,1110.0,1
20902,BRC,16:15,16:20,975,980,5,1075.0,1
20902,ST,17:35,17:40,1055,1060,5,945.0,1
20902,VAPI,20:30,Destination,1230,,0,850.0,1
22925,ADI,Source,18:10,,1090,0,1172.0,1
22925,VG,18:55,18:57,1135,1137,2,1237.0,1
22925,SUNR,19:48,19:50,1188,1190,2,1303.0,1
22925,WKR,20:45,20:47,1245,1247,2,1377.0,1
22925,RJT,21:30,21:35,1290,1295,5,1419.0,1
22925,JAM,22:35,Destination,1355,,0,1504.0,1
22926,JAM,Source,05:30,,330,0,1504.0,1
22926,RJT,06:30,06:35,390,395,5,1419.0,1
22926,WKR,07:15,07:17,435,437,2,1377.0,1
22926,SUNR,08:10,08:12,490,492,2,1303.0,1
22926,VG,09:03,09:05,543,545,2,1237.0,1
22926,ADI,09:50,Destination,590,,0,1172.0,1
12009,VAPI,Source,06:20,,380,0,850.0,1
12009,BL,06:40,06:42,400,402,2,876.0,1
12009,ST,07:35,07:40,455,460,5,945.0,1
12009,BH,08:24,08:26,504,506,2,1004.0,1
12009,BRC,09:18,09:23,558,563,5,1075.0,1
12009,ANND,10:00,10:02,600,602,2,1110.0,1
12009,ND,10:18,10:20,618,620,2,1129.0,1
12009,ADI,12:45,Destination,765,,0,1172.0,1
12010,ADI,Source,15:10,,910,0,1172.0,1
12010,ND,15:48,15:50,948,950,2,1129.0,1
12010,ANND,16:04,16:06,964,966,2,1110.0,1
12010,BRC,16:42,16:47,1002,1007,5,1075.0,1
12010,BH,17:35,17:37,1055,1057,2,1004.0,1
12010,ST,18:25,18:30,1105,1110,5,945.0,1
12010,BL,19:15,19:17,1155,1157,2,876.0,1
12010,VAPI,21:35,Destination,1295,,0,850.0,1
12901,VAPI,Source,21:40,,1300,0,850.0,1
12901,BL,22:15,22:20,1335,1340,5,876.0,1
12901,NVS,22:50,22:52,1370,1372,2,915.0,1
12901,ST,23:45,23:50,1425,1430,5,945.0,1
12901,BH,00:38,00:40,38,40,2,1004.0,2
12901,BRC,01:40,01:45,100,105,5,1075.0,2
12901,ANND,02:22,02:24,142,144,2,1110.0,2
12901,ND,02:40,02:42,160,162,2,1129.0,2
12901,ADI,05:55,Destination,355,,0,1172.0,2
12902,ADI,Source,22:50,,1370,0,1172.0,1
12902,ND,23:30,23:32,1410,1412,2,1129.0,1
12902,ANND,23:48,23:50,1428,1430,2,1110.0,1
12902,BRC,00:30,00:35,30,35,5,1075.0,2
12902,BH,01:25,01:27,85,87,2,1004.0,2
12902,ST,02:25,02:30,145,150,5,945.0,2
12902,NVS,02:58,03:00,178,180,2,915.0,2
12902,BL,03:35,03:40,215,220,5,876.0,2
12902,VAPI,06:20,Destination,380,,0,850.0,2
12933,VAPI,Source,14:05,,845,0,850.0,1
12933,ST,15:40,15:45,940,945,5,945.0,1
12933,BH,16:30,16:32,990,992,2,1004.0,1
12933,BRC,17:25,17:30,1045,1050,5,1075.0,1
