station_code,station_name,division,zone,state,latitude,longitude,km_from_origin,has_yard,platforms
NDLS,New Delhi,Delhi,NR,Delhi,28.6139,77.209,0.0,True,16
ANVT,Anand Vihar Terminal,Delhi,NR,Delhi,28.6502,77.315,12.5,True,7
SBB,Sahibabad Jn,Delhi,NR,Uttar Pradesh,28.673,77.348,19.8,False,5
GZB,Ghaziabad Jn,Delhi,NR,Uttar Pradesh,28.6692,77.4538,25.4,True,6
MIU,Maripat,Delhi,NR,Uttar Pradesh,28.591,77.534,35.8,False,3
DER,Dadri,Delhi,NR,Uttar Pradesh,28.549,77.561,42.1,True,4
AJR,Ajaibpur,Delhi,NR,Uttar Pradesh,28.489,77.621,50.3,False,3
DKDE,Dankaur,Delhi,NR,Uttar Pradesh,28.374,77.694,58.7,False,3
WAIR,Wair,Delhi,NR,Uttar Pradesh,28.291,77.782,70.2,False,2
CHL,Chola,Delhi,NR,Uttar Pradesh,28.214,77.854,77.6,False,3
KRJ,Khurja Jn,Delhi,NR,Uttar Pradesh,28.258,77.857,89.4,True,5
SOM,Somna,Prayagraj,NCR,Uttar Pradesh,28.012,77.982,110.1,False,3
ALJN,Aligarh Jn,Prayagraj,NCR,Uttar Pradesh,27.8974,78.088,131.2,True,7
HRS,Hathras Jn,Prayagraj,NCR,Uttar Pradesh,27.596,78.053,150.0,False,4
TDL,Tundla Jn,Prayagraj,NCR,Uttar Pradesh,27.208,78.239,204.0,True,7
ETW,Etawah Jn,Prayagraj,NCR,Uttar Pradesh,26.776,79.023,296.0,True,5
CNB,Kanpur Central,Prayagraj,NCR,Uttar Pradesh,26.454,80.35,436.0,True,10
FTP,Fatehpur,Prayagraj,NCR,Uttar Pradesh,25.926,80.813,514.0,False,4
PRYJ,Prayagraj Jn,Prayagraj,NCR,Uttar Pradesh,25.4358,81.8463,630.0,True,10
DDU,Pt Deen Dayal Upadhyaya Jn,Pt Deen Dayal Upadhyaya,ECR,Uttar Pradesh,25.279,83.118,783.0,True,8
VAPI,Vapi,Mumbai WR,WR,Gujarat,20.372,72.91,850.0,True,3
BL,Valsad,Mumbai WR,WR,Gujarat,20.61,72.93,876.0,True,5
NVS,Navsari,Mumbai WR,WR,Gujarat,20.95,72.93,915.0,False,3
ST,Surat,Mumbai WR,WR,Gujarat,21.204,72.84,945.0,True,6
UDN,Udhna Jn,Mumbai WR,WR,Gujarat,21.16,72.85,949.0,True,4
AKV,Ankleshwar Jn,Vadodara,WR,Gujarat,21.63,73.0,994.0,True,4
BH,Bharuch Jn,Vadodara,WR,Gujarat,21.71,72.98,1004.0,True,5
MYG,Miyagam Karjan Jn,Vadodara,WR,Gujarat,22.05,73.17,1044.0,False,3
BRC,Vadodara Jn,Vadodara,WR,Gujarat,22.3106,73.1812,1075.0,True,7
ANND,Anand Jn,Vadodara,WR,Gujarat,22.56,72.96,1110.0,True,6
ND,Nadiad Jn,Vadodara,WR,Gujarat,22.69,72.86,1129.0,True,4
MHD,Mahemdavad Kheda Rd,Ahmedabad,WR,Gujarat,22.83,72.76,1147.0,False,3
MAN,Maninagar,Ahmedabad,WR,Gujarat,22.997,72.605,1168.0,False,2
ADI,Ahmedabad Jn,Ahmedabad,WR,Gujarat,23.0225,72.5714,1172.0,True,12
SBIB,Sabarmati BG,Ahmedabad,WR,Gujarat,23.07,72.58,1178.0,True,6
GNC,Gandhinagar Capital,Ahmedabad,WR,Gujarat,23.23,72.65,1202.0,True,3
MSH,Mehsana Jn,Ahmedabad,WR,Gujarat,23.6,72.4,1242.0,True,6
UJA,Unjha,Ahmedabad,WR,Gujarat,23.8,72.39,1264.0,False,3
SID,Siddhpur,Ahmedabad,WR,Gujarat,23.92,72.38,1277.0,False,2
PNU,Palanpur Jn,Ahmedabad,WR,Gujarat,24.17,72.43,1307.0,True,5
VG,Viramgam Jn,Ahmedabad,WR,Gujarat,23.12,72.03,1237.0,True,4
SUNR,Surendranagar Jn,Rajkot,WR,Gujarat,22.72,71.64,1303.0,True,5
WKR,Wankaner Jn,Rajkot,WR,Gujarat,22.61,70.94,1377.0,True,4
RJT,Rajkot Jn,Rajkot,WR,Gujarat,22.3,70.8,1419.0,True,5
HAPA,Hapa,Rajkot,WR,Gujarat,22.46,70.13,1495.0,True,3
JAM,Jamnagar,Rajkot,WR,Gujarat,22.47,70.07,1504.0,True,4
DWK,Dwarka,Rajkot,WR,Gujarat,22.24,68.97,1641.0,True,3
OKHA,Okha,Rajkot,WR,Gujarat,22.47,69.07,1670.0,True,3
GIMB,Gandhidham Jn,Ahmedabad,WR,Gujarat,23.08,70.13,1475.0,True,4
BHUJ,Bhuj,Ahmedabad,WR,Gujarat,23.25,69.67,1533.0,True,3
GDA,Godhra Jn,Vadodara,WR,Gujarat,22.775,73.615,1149.0,True,5
BVP,Bhavnagar Terminus,Bhavnagar,WR,Gujarat,21.77,72.15,1380.0,True,4
BTD,Botad Jn,Bhavnagar,WR,Gujarat,22.17,71.67,1325.0,True,4
VRL,Veraval Jn,Bhavnagar,WR,Gujarat,20.9,70.37,1605.0,True,3
SMNH,Somnath,Bhavnagar,WR,Gujarat,20.89,70.4,1610.0,False,2
PBR,Porbandar,Bhavnagar,WR,Gujarat,21.64,69.6,1630.0,True,3
MDVB,Mundra Port,Ahmedabad,WR,Gujarat,22.84,69.71,1520.0,True,4
PPSP,Pipavav Port,Bhavnagar,WR,Gujarat,20.92,71.51,1450.0,True,3
DHJ,Dahej,Vadodara,WR,Gujarat,21.71,72.54,1050.0,True,2
