train_no,station_code,arrival_time,departure_time,halt_mins,distance_km,day_count
22436,NDLS,Source,06:00,0,0.0,1
22436,CNB,10:08,10:10,2,436.0,1
22436,PRYJ,12:08,12:10,2,630.0,1
22436,BSB,14:00,Destination,0,755.0,1
22435,BSB,Source,15:00,0,0.0,1
22435,PRYJ,16:30,16:32,2,125.0,1
22435,CNB,18:30,18:32,2,319.0,1
22435,NDLS,23:00,Destination,0,755.0,1
12302,NDLS,Source,16:50,0,0.0,1
12302,CNB,21:32,21:37,5,436.0,1
12302,PRYJ,23:43,23:45,2,630.0,1
12302,DDU,01:42,01:52,10,783.0,2
12302,HWH,10:05,Destination,0,1445.0,2
12002,NDLS,Source,06:15,0,0.0,1
12002,ALJN,07:33,07:35,2,131.2,1
12002,TDL,08:35,08:37,2,204.0,1
12418,NDLS,Source,22:10,0,0.0,1
12418,GZB,22:45,22:47,2,25.4,1
12418,ALJN,00:03,00:05,2,131.2,2
12418,CNB,03:50,03:55,5,436.0,2
12418,FTP,04:50,04:52,2,514.0,2
12418,PRYJ,07:00,Destination,0,630.0,2
64101,GZB,Source,07:30,0,25.4,1
64101,MIU,07:44,07:45,1,35.8,1
64101,DER,07:54,07:55,1,42.1,1
64101,AJR,08:04,08:05,1,50.3,1
64101,DKDE,08:14,08:15,1,58.7,1
64101,WAIR,08:30,08:31,1,70.2,1
64101,CHL,08:41,08:42,1,77.6,1
64101,KRJ,08:58,09:00,2,89.4,1
64101,SOM,09:22,09:23,1,110.1,1
64101,ALJN,10:00,Destination,0,131.2,1
20901,VAPI,Source,06:00,0,850.0,1
20901,ST,07:00,07:05,5,945.0,1
20901,BRC,08:15,08:20,5,1075.0,1
20901,ANND,08:48,08:50,2,1110.0,1
20901,ADI,09:45,09:50,5,1172.0,1
20901,GNC,12:25,Destination,0,1202.0,1
20902,GNC,Source,14:05,0,1202.0,1
20902,ADI,14:45,14:50,5,1172.0,1
20902,ANND,15:40,15:42,2,1110.0,1
20902,BRC,16:15,16:20,5,1075.0,1
20902,ST,17:35,17:40,5,945.0,1
20902,VAPI,20:30,Destination,0,850.0,1
22925,ADI,Source,18:10,0,1172.0,1
22925,VG,18:55,18:57,2,1237.0,1
22925,SUNR,19:48,19:50,2,1303.0,1
22925,WKR,20:45,20:47,2,1377.0,1
22925,RJT,21:30,21:35,5,1419.0,1
22925,JAM,22:35,Destination,0,1504.0,1
22926,JAM,Source,05:30,0,1504.0,1
22926,RJT,06:30,06:35,5,1419.0,1
22926,WKR,07:15,07:17,2,1377.0,1
22926,SUNR,08:10,08:12,2,1303.0,1
22926,VG,09:03,09:05,2,1237.0,1
22926,ADI,09:50,Destination,0,1172.0,1
12009,VAPI,Source,06:20,0,850.0,1
12009,BL,06:40,06:42,2,876.0,1
12009,ST,07:35,07:40,5,945.0,1
12009,BH,08:24,08:26,2,1004.0,1
12009,BRC,09:18,09:23,5,1075.0,1
12009,ANND,10:00,10:02,2,1110.0,1
12009,ND,10:18,10:20,2,1129.0,1
12009,ADI,12:45,Destination,0,1172.0,1
12010,ADI,Source,15:10,0,1172.0,1
12010,ND,15:48,15:50,2,1129.0,1
12010,ANND,16:04,16:06,2,1110.0,1
12010,BRC,16:42,16:47,5,1075.0,1
12010,BH,17:35,17:37,2,1004.0,1
12010,ST,18:25,18:30,5,945.0,1
12010,BL,19:15,19:17,2,876.0,1
12010,VAPI,21:35,Destination,0,850.0,1
12901,VAPI,Source,21:40,0,850.0,1
12901,BL,22:15,22:20,5,876.0,1
12901,NVS,22:50,22:52,2,915.0,1
12901,ST,23:45,23:50,5,945.0,1
12901,BH,00:38,00:40,2,1004.0,2
12901,BRC,01:40,01:45,5,1075.0,2
12901,ANND,02:22,02:24,2,1110.0,2
12901,ND,02:40,02:42,2,1129.0,2
12901,ADI,05:55,Destination,0,1172.0,2
12902,ADI,Source,22:50,0,1172.0,1
12902,ND,23:30,23:32,2,1129.0,1
12902,ANND,23:48,23:50,2,1110.0,1
12902,BRC,00:30,00:35,5,1075.0,2
12902,BH,01:25,01:27,2,1004.0,2
12902,ST,02:25,02:30,5,945.0,2
12902,NVS,02:58,03:00,2,915.0,2
12902,BL,03:35,03:40,5,876.0,2
12902,VAPI,06:20,Destination,0,850.0,2
12933,VAPI,Source,14:05,0,850.0,1
12933,ST,15:40,15:45,5,945.0,1
12933,BH,16:30,16:32,2,1004.0,1
12933,BRC,17:25,17:30,5,1075.0,1
12933,ANND,18:10,18:12,2,1110.0,1
12933,ND,18:28,18:30,2,1129.0,1
12933,ADI,21:05,Destination,0,1172.0,1
22945,BRC,Source,01:30,0,1075.0,1
22945,ANND,02:05,02:07,2,1110.0,1
22945,ADI,03:25,03:35,10,1172.0,1
22945,VG,04:40,04:42,2,1237.0,1
22945,SUNR,05:50,05:52,2,1303.0,1
22945,WKR,07:00,07:02,2,1377.0,1
22945,RJT,08:05,08:15,10,1419.0,1
22945,HAPA,09:30,09:32,2,1495.0,1
22945,JAM,09:45,09:50,5,1504.0,1
22945,DWK,12:50,12:55,5,1641.0,1
22945,OKHA,14:50,Destination,0,1670.0,1
22955,ST,Source,17:50,0,945.0,1
22955,BRC,19:25,19:30,5,1075.0,1
22955,ANND,20:08,20:10,2,1110.0,1
22955,ADI,21:40,21:55,15,1172.0,1
22955,VG,23:05,23:07,2,1237.0,1
22955,GIMB,04:30,04:50,20,1475.0,2
22955,BHUJ,08:30,Destination,0,1533.0,2
12915,ADI,Source,19:15,0,1172.0,1
12915,SBIB,19:28,19:30,2,1178.0,1
12915,MSH,20:25,20:27,2,1242.0,1
12915,UJA,20:47,20:49,2,1264.0,1
12915,SID,21:03,21:05,2,1277.0,1
12915,PNU,22:10,Destination,0,1307.0,1
69115,BRC,Source,08:45,0,1075.0,1
69115,ANND,09:18,09:20,2,1110.0,1
69115,ND,09:40,09:42,2,1129.0,1
69115,MHD,10:05,10:06,1,1147.0,1
69115,MAN,10:45,10:47,2,1168.0,1
69115,ADI,11:30,Destination,0,1172.0,1
G-MUNDRA-101,MDVB,Source,01:15,0,1520.0,1
G-MUNDRA-101,GIMB,02:30,02:40,10,1475.0,1
G-MUNDRA-101,VG,05:45,05:55,10,1237.0,1
G-MUNDRA-101,MSH,07:15,07:25,10,1242.0,1
G-MUNDRA-101,PNU,08:40,Destination,0,1307.0,1
G-RELIANCE-105,JAM,Source,01:45,0,1504.0,1
G-RELIANCE-105,RJT,03:10,03:20,10,1419.0,1
G-RELIANCE-105,SUNR,05:00,05:10,10,1303.0,1
G-RELIANCE-105,VG,06:30,06:40,10,1237.0,1
G-RELIANCE-105,ADI,07:45,08:00,15,1172.0,1
G-RELIANCE-105,BRC,09:30,Destination,0,1075.0,1
