task_id,task_name,task_category,section_id,track_line,start_km,end_km,station_code,required_duration_mins,safety_criticality,asset_degradation_score,urgency_days_overdue,gmt_accumulated,requires_traffic_block,requires_power_block,required_machines,required_gangs,required_power_cut_substation,horizon,status
TDMS_KAG_001,OHE Cantilever Tuning & AOH by Tower Wagon,OHE_AOH_TOWER_WAGON,SEC_GZB_MIU_UP,UP,26.0,30.0,GZB,180,8.5,8.4,11,62.4,True,True,TOWER_WAGON_TRD_01,TRD_OHE_CREW_01,TSS_GZB_25KV,DAILY,COMPLETE
TDMS_KAG_002,Burnt OHE Jumper & Contact Wire Splicing,CONTACT_WIRE_RENEWAL,SEC_KRJ_SOM_DN,DN,93.5,95.0,KRJ,150,9.4,9.1,5,78.1,True,True,TOWER_WAGON_TRD_02,TRD_HEAVY_CREW,TSS_KRJ_25KV,DAILY,COMPLETE
TDMS_KAG_003,PTFE Neutral Section Arc Horn Gap Tuning,NEUTRAL_SECTION_MAINT,SEC_DER_AJR_UP,UP,42.5,43.5,DER,120,8.9,8.6,4,55.0,True,True,TOWER_WAGON_TRD_01,TRD_OHE_CREW_02,TSS_DER_25KV,DAILY,PENDING
TDMS_KAG_004,Hazardous Tree Branch Trimming (25kV Feeder),TREE_TRIMMING_HIGH_VOLTAGE,SEC_DKDE_WAIR_DN,DN,61.0,63.0,DKDE,120,7.5,6.9,8,74.2,True,True,,TRD_TREE_GANG,TSS_DER_25KV,DAILY,PENDING
TDMS_KAG_005,25kV Vacuum Circuit Breaker Substation POH,SUBSTATION_CB_OVERHAUL,SEC_ALJN_HRS_DN,DN,131.0,131.5,ALJN,180,8.7,8.0,19,68.0,True,True,,PSI_SPECIALIST_TEAM,TSS_ALJN_25KV,MONTHLY,PENDING
TDMS_WR_ADI_001,25kV Catenary Wire Renewal & Dropper Replacement,CONTACT_WIRE_RENEWAL,SEC_ADI_MAN_UP,UP,1172.0,1175.5,ADI,180,9.4,9.0,7,88.5,True,True,TOWER_WAGON_WR_01,TRD_OHE_CREW_ADI_01,TSS_ADI_25KV,DAILY,PENDING
TDMS_WR_BRC_002,PTFE Neutral Section Arc Horn Gap Tuning,NEUTRAL_SECTION_MAINT,SEC_BRC_MYG_DN,DN,1075.0,1076.0,BRC,120,9.1,8.8,4,94.2,True,True,TOWER_WAGON_WR_02,TRD_OHE_CREW_BRC_01,TSS_BRC_25KV,DAILY,PENDING
TDMS_WR_ST_003,OHE Cantilever Tuning & Insulator Replacement,OHE_AOH_TOWER_WAGON,SEC_ST_UDN_UP,UP,945.0,948.0,ST,150,8.6,8.2,9,102.4,True,True,TOWER_WAGON_WR_01,TRD_OHE_CREW_ST_01,TSS_ST_25KV,DAILY,PENDING
TDMS_WR_ANND_004,25kV Vacuum Circuit Breaker Substation POH,SUBSTATION_CB_OVERHAUL,SEC_ANND_ND_DN,DN,1110.0,1110.5,ANND,180,8.9,8.3,15,84.0,True,True,,PSI_SPECIALIST_TEAM_WR,TSS_ANND_25KV,MONTHLY,PENDING
TDMS_WR_PNU_005,DFC High-Rise Contact Wire Height Calibration,CONTACT_WIRE_RENEWAL,SEC_PNU_SID_DN,DN,1307.0,1310.0,PNU,150,8.7,8.5,5,98.0,True,True,TOWER_WAGON_WR_03,TRD_OHE_CREW_PNU_01,TSS_PNU_25KV,WEEKLY,PENDING
TDMS_WR_VG_006,Hazardous Tree Branch Trimming (25kV Feeder Corridor),TREE_TRIMMING_HIGH_VOLTAGE,SEC_VG_SUNR_DN,DN,1237.0,1240.0,VG,120,7.7,7.2,8,76.5,True,True,,TRD_TREE_GANG_WR,TSS_VG_25KV,DAILY,PENDING
