task_id,task_name,task_category,section_id,track_line,start_km,end_km,station_code,required_duration_mins,safety_criticality,asset_degradation_score,urgency_days_overdue,gmt_accumulated,speed_restriction_if_deferred_kmh,requires_traffic_block,requires_power_block,required_machines,required_gangs,horizon,status
TMS_KAG_001,Emergency IMR Rail Flaw Renewal KM 26.2,USFD_IMR_RAIL_FLAW,SEC_GZB_MIU_UP,UP,26.0,26.5,GZB,120,9.9,9.5,4,62.4,20,True,False,WELD_GENSET_01,PWAY_GANG_01,DAILY,PENDING
TMS_KAG_002,CSM Track Tamping & Alignment KM 26.0-32.0,TRACK_TAMPING_CSM,SEC_GZB_MIU_UP,UP,26.0,32.0,GZB,210,8.2,8.4,12,62.4,50,True,False,CSM_TAMPING_01,MACHINE_CREW_01,DAILY,PENDING
TMS_KAG_003,Turnout 102 Diamond Crossing Overhaul,POINTS_CROSSING_TAMPING,SEC_DER_AJR_UP,UP,42.0,43.2,DER,180,8.6,8.1,9,55.0,30,True,False,UNIMAT_TURNOUT_02,PWAY_GANG_02,WEEKLY,PENDING
TMS_KAG_004,BCM Deep Screening of Track Bed,BALLAST_CLEANING_BCM,SEC_DKDE_WAIR_DN,DN,60.0,64.0,DKDE,300,7.8,8.8,18,74.2,30,True,True,BCM_MACHINE_03,BCM_HEAVY_CREW,MONTHLY,PENDING
TMS_KAG_005,CWR Destressing & Rail Tensor Clamping,CWR_DESTRESSING,SEC_KRJ_SOM_DN,DN,94.0,98.0,KRJ,180,8.4,7.8,7,78.1,45,True,False,RAIL_TENSOR_01,PWAY_GANG_03,WEEKLY,PENDING
TMS_KAG_006,Emergency Weld Defect OBS Clamp Removal,USFD_IMR_RAIL_FLAW,SEC_SOM_ALJN_UP,UP,118.5,119.0,SOM,90,9.7,9.2,2,82.0,30,True,False,WELD_GENSET_01,PWAY_GANG_01,DAILY,PENDING
TMS_KAG_007,Rail Grinding RGM Profile Restoration,RAIL_GRINDING_RGM,SEC_ALJN_HRS_DN,DN,135.0,142.0,ALJN,240,7.1,7.5,15,68.0,None,True,False,RGM_GRINDER_01,RGM_CREW,WEEKLY,PENDING
TMS_WR_ADI_001,High-Speed BCM Deep Screening KM 1172.0-1176.0,BALLAST_CLEANING_BCM,SEC_ADI_MAN_UP,UP,1172.0,1176.0,ADI,240,9.6,9.2,8,88.5,30,True,True,BCM_MACHINE_WR_01,PWAY_GANG_ADI_01,DAILY,PENDING
TMS_WR_BRC_002,Turnout 204 Point Diamond Crossing Tamping,POINTS_CROSSING_TAMPING,SEC_BRC_MYG_DN,DN,1075.0,1077.5,BRC,180,9.1,8.7,5,94.2,45,True,False,UNIMAT_TURNOUT_WR_01,PWAY_GANG_BRC_01,DAILY,PENDING
TMS_WR_ST_003,USFD Ultrasonic Rail Flaw Renewal KM 945.0-948.5,USFD_IMR_RAIL_FLAW,SEC_ST_UDN_UP,UP,945.0,948.5,ST,120,9.8,9.6,3,102.4,20,True,False,WELD_GENSET_WR_01,PWAY_GANG_ST_01,DAILY,PENDING
TMS_WR_ANND_004,CSM Track Tamping & Alignment KM 1110.0-1116.0,TRACK_TAMPING_CSM,SEC_ANND_ND_DN,DN,1110.0,1116.0,ANND,180,8.4,8.1,14,84.0,50,True,False,CSM_TAMPING_WR_02,MACHINE_CREW_WR_01,WEEKLY,PENDING
TMS_WR_BH_005,Narmada Bridge Approach Rail Joint Replacement,USFD_IMR_RAIL_FLAW,SEC_BH_AKV_DN,DN,1004.0,1006.0,BH,150,9.5,9.0,4,96.0,30,True,False,RAIL_TENSOR_WR_01,PWAY_GANG_BH_01,DAILY,PENDING
TMS_WR_VAPI_006,Continuous Welded Rail Destressing KM 850.0-854.0,CWR_DESTRESSING,SEC_VAPI_BL_UP,UP,850.0,854.0,VAPI,180,8.6,8.0,9,91.5,45,True,False,RAIL_TENSOR_WR_02,PWAY_GANG_VAPI_01,WEEKLY,PENDING
TMS_WR_RJT_007,RGM Rail Grinding Profile Restoration KM 1419.0-1426.0,RAIL_GRINDING_RGM,SEC_RJT_WKR_UP,UP,1419.0,1426.0,RJT,240,7.6,7.9,16,62.0,None,True,False,RGM_GRINDER_WR_01,RGM_CREW_WR_01,WEEKLY,PENDING
TMS_WR_VG_008,CSM Track Tamping on DFC Feeder Line KM 1237.0-1244.0,TRACK_TAMPING_CSM,SEC_VG_SUNR_DN,DN,1237.0,1244.0,VG,210,8.2,8.3,10,76.5,50,True,False,CSM_TAMPING_WR_01,MACHINE_CREW_WR_02,WEEKLY,PENDING
TMS_WR_GIMB_009,Emergency Weld Defect Clamp Removal KM 1475.0-1476.0,USFD_IMR_RAIL_FLAW,SEC_GIMB_BHUJ_UP,UP,1475.0,1476.0,GIMB,90,9.7,9.3,2,82.0,20,True,False,WELD_GENSET_WR_02,PWAY_GANG_GIMB_01,DAILY,PENDING
TMS_WR_PNU_010,Turnout Overhaul & Sleeper Packing KM 1307.0-1309.0,POINTS_CROSSING_TAMPING,SEC_PNU_SID_DN,DN,1307.0,1309.0,PNU,180,8.8,8.4,6,98.0,30,True,False,UNIMAT_TURNOUT_WR_02,PWAY_GANG_PNU_01,WEEKLY,PENDING
